lat,lng
-6.2018311,106.824836
-6.2036879,106.8234587
-6.2059685,106.8180302
-6.202935,106.818513
-6.2024046,106.8234553
-6.1979429,106.8285957
-6.197555,106.824558
-6.2050769,106.8217092
-6.2014135,106.8221531
-6.2038393,106.8205089
-6.1971777,106.8227442
-6.203683,106.8236461
-6.2024371,106.823335
-6.1980543,106.8217092
-6.2038393,106.8205089
-6.1997319,106.822703
-6.2047249,106.8222386
-6.2046653,106.8183447
-6.2038393,106.8205089
-6.2024046,106.8234553
-6.2026404,106.8242446
-6.2065705,106.8215436
-6.2024046,106.8234553
-6.2038393,106.8205089
-6.200125,106.822192
-6.2024046,106.8234553
-6.2024046,106.8234553
-6.2024046,106.8234553
-6.1986926,106.8217092
-6.2059685,106.8180302
-6.2038986,106.8230751
-6.1971727,106.8287845
-6.1994329,106.8225554
-6.1990281,106.8226004
-6.2024046,106.8234553
-6.2013488,106.8250925
-6.2020771,106.8230922
-6.2023617,106.8249644
-6.1983702,106.82311
-6.2002615,106.82587
-6.2060658,106.8252849
-6.1991132,106.8236692
-6.2068471,106.8244846
-6.2024046,106.8234553
-6.203893,106.821676
-6.2015701,106.8224582
-6.1975245,106.8247529
-6.1996336,106.8275413
-6.2004638,106.820004
-6.2024371,106.823335
-6.2036939,106.8237304
-6.2038628,106.8245133
-6.1996476,106.8275413
-6.2064988,106.8275041
-6.1975245,106.8247529
-6.2059685,106.8180302
-6.2024046,106.8234553
-6.2034633,106.8210179
-6.2010203,106.8234155
-6.2035773,106.8204241
-6.1990281,106.8226004
-6.2059782,106.8214611
-6.2033503,106.8201934
-6.2054385,106.8214417
-6.1975987,106.824613
-6.203694,106.8237302
-6.2059685,106.8180302
-6.203647,106.8202806
-6.2024046,106.8234553
-6.1990281,106.8226004
-6.2059685,106.8180302
-6.1976137,106.8256577
-6.2024047,106.8234553
-6.2053738,106.8214668
-6.2012326,106.819541
-6.2059782,106.8214611
-6.1998429,106.8202816
-6.196745,106.8288025
-6.2024808,106.8242444
-6.2067378,106.8222249
-6.2038983,106.8199118
-6.1979603,106.8283004
-6.1990283,106.8226004
-6.1990283,106.8226004
-6.2038628,106.8245133
-6.2024987,106.8236914
-6.1998318,106.8264404
-6.2053738,106.8214668
-6.203694,106.8237302
-6.1991862,106.8224927
-6.1993366,106.8202679
-6.2009311,106.823392
-6.2032864,106.8232174
-6.1991132,106.8236692
-6.1976616,106.8193609
-6.202935,106.818513
-6.200681,106.8237604
-6.2010203,106.8234155
-6.2031334,106.8188979
-6.2018884,106.8235894
-6.1975245,106.8247529
-6.1975603,106.8245671
-6.2068051,106.8189479
-6.2053668,106.8210456
-6.2014135,106.8221531
-6.2024671,106.8255018
-6.2024052,106.823459
-6.2024207,106.8234054
-6.197952,106.8178441
-6.1990486,106.8226828
-6.2018884,106.8235894
-6.2014359,106.8207497
-6.202675,106.8238211
-6.2021254,106.8235214
-6.2055891,106.8178386
-6.2057176,106.8178619
-6.2059685,106.8180302
-6.197597,106.8271943
-6.2035773,106.8204241
-6.2024671,106.8255018
-6.2031303,106.8213715
-6.1990281,106.8226004
-6.2042663,106.8219107
-6.199984,106.8224929
-6.2038743,106.821676
-6.2024052,106.823459
-6.2036939,106.8237304
-6.2059685,106.8180302
-6.2023592,106.8233615
-6.2034727,106.8201413
-6.201711,106.821641
-6.2024046,106.8234553
-6.2023592,106.8233615
-6.2023592,106.8233615
-6.205701,106.822243
-6.2015921,106.8221243
-6.2059783,106.8214612
-6.2018236,106.829378
-6.1990281,106.8226004
-6.2036807,106.8199939
-6.2015254,106.8216462
-6.2039323,106.8249359
-6.2014135,106.8221531
-6.1983702,106.82311
-6.1975567,106.8247514
-6.1990281,106.8226004
-6.2038066,106.8202132
-6.197952,106.8178441
-6.198275,106.828273
-6.2024927,106.8238758
-6.1975213,106.824613
-6.2010491,106.8265033
-6.2059744,106.8214578
-6.2036939,106.8237304
-6.202935,106.818513
-6.197734,106.8238727
-6.2053738,106.8214668
-6.1990281,106.8226004
-6.2024046,106.8234553
-6.2036177,106.8199581
-6.2028064,106.8228156
-6.2059685,106.8180302
-6.197388,106.8252755
-6.196745,106.8288025
-6.1990281,106.8226004
-6.2024052,106.823459
-6.2054385,106.8214417
-6.197653,106.8222902
-6.200681,106.8237604
-6.2059685,106.8180302
-6.2058825,106.817885
-6.202935,106.818513
-6.2038393,106.8205089
-6.2038066,106.8202132
-6.2036939,106.8237304
-6.2038393,106.8205089
-6.2023592,106.8233615
-6.2020428,106.8254428
-6.2023592,106.8233615
-6.2036939,106.8237304
-6.2058931,106.8282962
-6.203694,106.8237302
-6.2043019,106.8234607
-6.2060465,106.8194095
-6.2014135,106.8221531
-6.2025077,106.8245671
-6.1990281,106.8226004
-6.1976616,106.8193609
-6.2015394,106.8240421
-6.2011975,106.8205155
-6.202935,106.818513
-6.2024046,106.8234553
-6.2059783,106.8214612
-6.2018236,106.829378
-6.2040474,106.8239218
-6.1968834,106.8253255
-6.198417,106.8226852
-6.1973981,106.8241301
-6.2023913,106.8234654
-6.2063489,106.8190773
-6.2060762,106.8216633
-6.2027134,106.8294551
-6.202935,106.818513
-6.2035723,106.8287155
-6.197212,106.8271209
-6.2058825,106.817885
-6.2058825,106.817885
-6.2023091,106.824613
-6.2064438,106.8249818
-6.2024046,106.8234553
-6.203893,106.821676
-6.1991359,106.8235623
-6.200681,106.8237604
-6.2014135,106.8221531
-6.2059685,106.8180302
-6.2058825,106.817885
-6.2002614,106.8258699
-6.1979429,106.8285957
-6.2014135,106.8221531
-6.2033207,106.8229537
-6.2041144,106.8233783
-6.1998432,106.8236142
-6.2058825,106.817885
-6.2038628,106.8245133
-6.1990281,106.8226004
-6.2013635,106.8213803
-6.2057882,106.8182683
-6.2051862,106.8229567
-6.1990281,106.8226004
-6.2033503,106.8201934
-6.2023592,106.8233615
-6.2026575,106.829254
-6.2059685,106.8180302
-6.2043119,106.821724
-6.2036958,106.8236913
-6.205936,106.826317
-6.2024046,106.8234553
-6.203694,106.8237302
-6.200193,106.8192221
-6.2024047,106.8234553
-6.1994616,106.8290568
-6.2024046,106.8234553
-6.2042106,106.8225849
-6.1993366,106.8202679
-6.2024046,106.8234553
-6.2024046,106.8234553
-6.2022714,106.8233225
-6.2024046,106.8234553
-6.2018884,106.8235894
-6.2016988,106.8295225
-6.2009818,106.8210806
-6.2013048,106.8235992
-6.2059783,106.8214612
-6.2004648,106.8259655
-6.202935,106.818513
-6.2059685,106.8180302
-6.1986864,106.8290324
-6.2020664,106.8290082
-6.197731,106.8288059
-6.2014135,106.8221531
-6.2031724,106.8243394
-6.202367,106.8255522
-6.2059685,106.8180302
-6.2036958,106.8236913
-6.2014408,106.8234583
-6.1992289,106.8236715
-6.1990281,106.8226004
-6.1973044,106.8236961
-6.2014135,106.8221531
-6.2059685,106.8180302
-6.2024046,106.8234553
-6.2029327,106.818513
-6.2002543,106.8226657
-6.2034334,106.8201513
-6.1990281,106.8226004
