lat,lng,s2_id
-6.9788116,110.4149194,3346327716029792256
-2.9689213,104.7441254,3331385937123868672
-7.2701809,112.8116211,3303373473224589312
3.5877212,98.6903847,3472611436843237376
-6.556221,106.8047804,3344419788477693952
3.58205,98.667372,3472611574282190848
-6.2124917,106.8112442,3344475416894111744
-6.2087923,106.8289458,3344472496316350464
-6.2451485,106.7912248,3344469266500943872
-7.28023,112.767012,3303383952944791552
3.5907768,98.679786,3472611505562714112
-7.296335,112.7607853,3303385567852494848
-7.293368,112.7562949,3303385602212233216
-2.9772758,104.7506003,3331385971483607040
-6.3024309,106.8216676,3344465864886845440
-6.2124917,106.8112442,3344475416894111744
-2.9906294,104.7284431,3331385593526484992
-6.175176,106.828535,3344474489181175808
3.581681,98.6252328,3472607725991493632
-2.9683581,104.7332722,3331385834044653568
-6.2386623,106.7930424,3344469438299635712
3.5872267,98.6741229,3472611539922452480
3.56163,98.7072599,3472610612209516544
-6.9809418,110.4123393,3346327681670053888
-6.1683377,106.8310121,3344474454821437440
-7.0320558,110.4563847,3346328746821943296
-3.0134301,104.7680752,3331429986308456448
3.5984202,98.6755048,3472611505562714112
3.5856638,98.6767996,3472611539922452480
-7.0560739,110.3946428,3346328300145344512
3.590853,98.679651,3472611505562714112
-6.2418569,106.8413218,3344472221438443520
-2.9789472,104.7484428,3331385971483607040
-6.9717327,110.4241657,3346443542707830784
-7.2629282,112.7403582,3303383059591593984
3.5928114,98.6638409,3472611608641929216
-2.9604508,104.7580645,3331386624318636032
-6.248673,106.8435146,3344472152718966784
-2.9611529,104.7224292,3331385765325176832
-6.1926682,106.7978741,3344475313814896640
-6.1713426,106.8237374,3344474489181175808
-6.2273783,106.8011534,3344469507019112448
-6.1986906,106.8135617,3344475382534373376
3.5752733,98.68262,3472609890655010816
-2.9753176,104.7603218,3331386589958897664
-6.2066771,106.8001503,3344475485613588480
-7.2346809,112.7922679,3303383471908454400
-6.2239692,106.8268061,3344472461956612096
-6.2449032,106.8039285,3344469644458065920
-6.1350164,106.8665262,3344474111224053760
-6.2645927,106.8318486,3344470503451525120
-6.1356479,106.8311066,3344474626620129280
-6.9786709,110.4577698,3346329330937495552
-7.2620789,112.7501743,3303383059591593984
-6.1942087,106.6352553,3344478200032919552
-6.1320689,106.8237789,3344518675804717056
-6.2040803,106.8217632,3344472599395565568
-6.9886405,110.4238093,3346327750389530624
-2.9761755,104.7418393,3331385937123868672
3.5865072,98.6919133,3472611436843237376
1.4838182,124.8347497,3641007552512131072
-6.2132339,106.8189053,3344472496316350464
-2.97626,104.7423863,3331385937123868672
-2.9710146,104.737729,3331385834044653568
3.6163012,98.615997,3472607932149923840
-6.9865336,110.3761481,3346327166273978368
-6.2261035,106.8055925,3344469507019112448
-2.9644044,104.7512279,3331385902764130304
-2.9912844,104.7345657,3331386040203083776
1.491054,124.86273,3640890591962726400
3.5919956,98.6808562,3472611505562714112
-7.7819107,110.3676895,3349086253264928768
-6.2080914,106.8260078,3344472496316350464
-6.2941458,106.815997,3344470262933356544
-6.280141,106.9129747,3344359555856334848
-6.2941458,106.815997,3344470262933356544
-2.9650769,104.7471323,3331385902764130304
-7.264845,112.748288,3303383059591593984
-6.2240267,106.8231378,3344472461956612096
-7.2703981,112.7411175,3303385774010925056
-6.2393389,106.8325306,3344472221438443520
3.5867883,98.6909979,3472611436843237376
-6.1456105,106.8753541,3344474076864315392
-6.3509761,106.7026962,3344456656476962816
-6.8943673,107.660447,3344177277444292608
-6.224947,106.8145192,3344469541378850816
-2.9790216,104.7482429,3331385971483607040
-6.2391019,106.8321725,3344472221438443520
-6.2093696,106.7943879,3344475451253850112
-2.9885519,104.7300881,3331386040203083776
-6.2137276,106.8132862,3344475416894111744
-7.8024516,110.3646354,3349085531710423040
-2.9737498,104.759523,3331386589958897664
-6.9855876,110.4126881,3346327681670053888
-6.9782126,110.4211086,3346327716029792256
-5.077747,119.5494844,3296348830873681920
-6.9196663,107.5944584,3344175731256066048
-2.9745567,104.7305477,3331385834044653568
-2.932363,104.7655331,3331386899196542976
-7.2380458,112.7347184,3303382887792902144
-6.1140393,106.9347076,3344520943547449344
-7.2682014,112.7514554,3303385739651186688
-7.264845,112.7482881,3303383059591593984
-2.9752333,104.7667298,3331386555599159296
-7.2655553,112.7519234,3303383162670809088
3.5865072,98.6919133,3472611436843237376
-2.967078,104.7634889,3331386589958897664
3.5807039,98.6851085,3472611436843237376
-2.9673118,104.7433892,3331385937123868672
-7.7826151,110.3943406,3349087971251847168
-6.1539504,106.8070563,3344474729699344384
-2.981585,104.7335793,3331386005843345408
-2.9743083,104.7532178,3331386589958897664
3.5700062,98.6337993,3472609272179720192
-6.2261035,106.8055925,3344469507019112448
-2.9819184,104.7605258,3331386143282298880
-6.988027,110.426464,3346329159138803712
-6.9827022,110.4044706,3346327681670053888
-2.9745567,104.7305477,3331385834044653568
-2.9731112,104.7700825,3331386555599159296
3.602374,98.6726829,3472611677361405952
-7.2648774,112.7485448,3303383059591593984
1.5050588,124.8727851,3641054762792648704
3.602182,98.6883285,3472611299404283904
-6.988027,110.426464,3346329159138803712
-6.1168464,106.7747004,3344518229128118272
-6.2222984,106.7988522,3344469507019112448
-7.2861537,112.6988816,3303386014529093632
-2.9650769,104.7471323,3331385902764130304
-2.9560204,104.7460104,3331384081697996800
-6.2111405,106.7984343,3344475451253850112
3.592095,98.663036,3472611608641929216
3.5883807,98.7209217,3472610784008208384
-6.254739,106.795619,3344469678817804288
3.5886792,98.679391,3472611539922452480
-6.1435113,106.811385,3344474695339606016
-6.1877547,106.8276191,3344472633755303936
-2.9745567,104.7305477,3331385834044653568
-7.2576704,112.7487776,3303383059591593984
-6.2322116,106.8317055,3344472393237135360
-7.2573677,112.7477999,3303383059591593984
-6.9885948,110.4231365,3346327750389530624
-7.2629282,112.7403582,3303383059591593984
