lat,lng,s2_id
-6.2790579,106.7997842,3344469816256757760
-6.9523189,107.6337943,3344178102078013440
-6.9202631,107.6591287,3344177792840368128
-6.1831865,106.815295,3344475245095419904
-6.962615,107.578245,3344178720553304064
-3.0302691,104.7424718,3331430604783747072
-6.8951888,107.6002291,3344176006133972992
-6.9034672,107.6107855,3344175937414496256
-6.1942475,106.9733395,3344357666070724608
-6.1747833,106.84285,3344474351742222336
-2.8957888,104.7042993,3331382844747415552
-7.7827038,110.3787301,3349088005611585536
-6.176766,106.8369331,3344472702474780672
-7.3113126,112.7815428,3303384777578512384
-6.2544111,106.7819324,3344469197781467136
3.5217601,98.7956617,3472618583668817920
-6.1852378,106.8192758,3344472668115042304
-6.1645973,106.7624284,3344476550765477888
-6.1565568,106.9098074,3344473801986408448
3.5769481,98.6807774,3472609787575795712
-2.9920659,104.7486674,3331386074562822144
-7.2756006,112.7036554,3303385945809616896
-6.2443769,106.8655321,3344471431164461056
-6.8881113,107.5246307,3344174494305484800
-7.2914977,112.7619042,3303385602212233216
-6.2427347,106.8488569,3344472187078705152
-2.9665687,104.7492824,3331385902764130304
-1.2444739,116.8577686,3310504458965745664
-7.752913,110.384561,3349087146618126336
-6.1409188,106.8101868,3344474695339606016
-6.153204,106.7131672,3344476997442076672
3.5824867,98.6716751,3472611539922452480
-6.4035793,106.8619044,3344463287906467840
-6.9841875,110.4316983,3346329193498542080
-5.1628801,119.4327335,3296321102564818944
-6.2326111,106.6260447,3344481292409372672
-6.276924,106.7236356,3344468579306176512
-6.153204,106.7131672,3344476997442076672
-6.9205676,107.6231302,3344177621041676288
-6.3010729,106.7406773,3344468201349054464
-6.8949175,107.6167317,3344175971774234624
-6.136118,106.826014,3344474660979867648
-6.8934419,107.6124721,3344175971774234624
-6.1310061,106.6560989,3344488370515476480
-7.2412006,112.7425501,3303382715994210304
-6.244467,106.795375,3344469644458065920
-6.2572684,106.8521429,3344470606530740224
-6.903526,107.6107256,3344175937414496256
-6.9022405,107.6042847,3344175903054757888
-6.3805975,106.7689496,3344467170556903424
-6.2094296,106.8223174,3344472496316350464
-6.9256327,107.6364684,3344177655401414656
-6.2555222,106.855842,3344472118359228416
-6.6562606,106.8731959,3344424495761850368
-6.186691,106.8267574,3344472633755303936
-6.2806759,106.828577,3344470400372310016
-6.2561935,106.7994314,3344469678817804288
-6.2642031,106.9393599,3344359349697904640
-5.1804405,119.4267354,3296320999485603840
-2.9426887,104.7308924,3331384150417473536
-1.2776873,116.8387034,3310505421038419968
-5.1330724,119.4132248,3296356355656384512
-3.016516,104.7516157,3331430570424008704
-6.3253074,106.7443473,334446761723350220
-2.9812789,104.7378537,3331386005843345408
-6.9052611,107.6137176,3344175937414496256
-6.9813511,110.3945269,3346327578590838784
-7.2750136,112.7530138,3303385739651186688
-6.169919,106.8256125,3344474489181175808
-6.2693008,106.654335,3344480227257483264
-5.1445131,119.4150674,3296385698872950784
3.5658807,98.6258776,3472609169100505088
-6.196456,106.877521,3344473114791641088
-2.9647738,104.7716994,3331386521239420928
-6.2024811,106.8450327,3344472942992949248
-6.3823234,106.865275,3344463116107776000
-1.2768984,116.8375179,3310505421038419968
-6.2661481,106.7833315,3344469884976234496
-6.2743935,106.8082049,3344469781897019392
-2.9708256,104.7411105,3331385937123868672
-6.9027088,107.6053973,3344175903054757888
3.5919956,98.6808562,3472611505562714112
-6.940672,107.6267004,3344178239516966912
-5.1555138,119.4380858,3296321274363510784
-5.13241,119.488,3296349827306094592
-7.305905,112.7464558,3303385533492756480
-6.2239297,106.8427726,3344471980920274944
-6.9862521,110.4141417,3346327647310315520
-6.1968401,106.814535,3344475348174635008
3.5932201,98.6759207,3472611505562714112
-7.2673104,112.7328801,3303383025231855616
-6.5522723,106.7761019,3344420235154292736
-5.1448552,119.4754656,3296321755399847936
-7.2740122,112.7490569,3303385774010925056
-6.2154265,106.8212945,3344472496316350464
-7.2760473,112.7818475,3303383987304529920
-6.1293574,106.6579308,3344488336155738112
-6.9071204,107.6262026,3344177586681937920
-6.352407,106.7375153,3344467479794548736
-6.2304811,106.7601333,3344469025982775296
-6.8699021,107.6280684,3344176830767693824
-6.2915825,106.7996595,3344470159854141440
-7.3504983,112.7249103,3303360279085056000
-6.2601825,106.7473463,3344469129061990400
-6.2240267,106.8231378,3344472461956612096
-7.747267,110.361421,3349087077898649600
-7.0582599,110.4445757,3346331358162059264
-6.893967,107.605368,3344176006133972992
-6.243464,106.880117,3344471465524199424
-6.2215,106.81411,3344469541378850816
-7.7606892,110.3770564,3349086390703882240
-5.1760648,119.4442511,3296321514881679360
-6.3730687,106.8347296,3344463734583066624
-7.7851763,110.3716333,3349086253264928768
-7.7875189,110.4109471,3349088108690800640
-5.1532741,119.4170741,3296385733232689152
-5.136407,119.407292,3296356390016122880
-6.1900566,106.7387438,3344476241527832576
-6.2909983,106.8252108,3344470297293094912
-5.157432,119.446476,3296321308723249152
-6.2177943,106.8302939,3344472427596873728
-6.1501832,106.8245671,3344474557900652544
-5.1208894,119.5141305,3296348349837344768
-6.9065865,107.6167639,3344175937414496256
-6.2652766,106.8206494,3344470469091786752
-6.9040419,107.5992628,3344175903054757888
-6.9243306,107.6327804,3344177621041676288
-6.165545,106.8317065,3344474420461699072
-2.9535161,104.7613258,3331386658678374400
-1.2733041,116.8591372,3310505008721559552
-5.1745899,119.4156361,3296385870671642624
-2.9831881,104.7512963,3331385971483607040
-7.2760473,112.7818475,3303383987304529920
-6.2149686,106.8071449,3344475416894111744
-6.3037683,106.6853497,3344456175440625664
-6.929632,107.5857429,3344178548754612224
-6.3058746,107.1732594,3344374914659385344
-6.89148,107.6106591,3344175971774234624
-5.1348569,119.4351747,3296350480141123584
-6.926959,107.6362431,3344177655401414656
-6.1687567,106.8372717,3344474454821437440
-6.904888,107.6118994,3344175937414496256
-6.127353,106.7911119,3344518160408641536
-5.1274567,119.5100233,3296349758586617856
3.5928114,98.6638409,3472611608641929216
-6.2148908,106.8075106,3344475416894111744
-2.9732509,104.7206854,3331385799684915200
-5.1578586,119.4464976,3296321308723249152
-6.2256079,106.8296351,3344472461956612096
-7.2648703,112.7485449,3303383059591593984
-2.9761755,104.7418393,3331385937123868672
-6.1574835,106.7829359,3344474970217512960
-7.3205378,112.7621439,3303384949377204224
3.5511971,98.6481952,3472609478338150400
-6.2477031,106.8021549,3344469644458065920
-7.2790275,112.6557478,3303387938674442240
-6.2985405,106.8706974,3344465315131031552
-5.1771855,119.4111638,3296385870671642624
-6.3730711,106.8347295,3344463734583066624
-7.2648774,112.7485448,3303383059591593984
-6.2268175,106.6071156,3344481395488587776
-2.9497627,104.7596356,3331386658678374400
-6.2617115,106.812353,3344469747537281024
-6.857045,107.490469,3344174150708101120
-6.2196707,106.8139935,3344469541378850816
-6.1872077,106.758619,3344475829210972160
-6.2449662,106.7998757,3344469644458065920
-7.2781884,112.7655612,3303383952944791552
-6.9280284,107.6392418,3344178308236443648
-6.2959418,106.7750683,3344470091134664704
-6.2452518,106.8044904,3344469644458065920
-6.1613232,106.7520086,3344476585125216256
-6.9797191,110.4084543,3346327681670053888
-6.4546622,106.7318552,3344459336536555520
-6.9652291,110.3911457,3346443645787045888
-6.8951773,107.5974601,3344176040493711360
1.4838182,124.8347497,3641007552512131072
-6.1768403,106.8721119,3344473561468239872
-6.2367373,106.7997859,3344469472659374080
-5.077747,119.5494844,3296348830873681920
-7.7695746,110.4042352,3349087765093416960
-6.2655555,106.7832262,3344469884976234496
-8.7120233,115.1674706,3301779284443529216
-6.197967,106.745583,3344476241527832576
-7.776846,110.37293,3349086253264928768
-6.894165,107.613734,3344175971774234624
-6.2007468,106.8946839,3344473286590332928
-6.2442159,106.7974488,3344469644458065920
-6.9181513,107.6640583,3344177792840368128
-6.1960207,106.8915492,3344473286590332928
-6.9295504,107.6384921,3344178308236443648
-6.9956592,107.6374967,3344179545187024896
-6.1598975,106.908948,3344473801986408448
-6.166951,106.7908993,3344474970217512960
-6.9069233,107.6449512,3344177552322199552
-6.889331,107.579404,3344176143572926464
-6.2032273,106.8468556,3344472942992949248
-6.9164785,107.5629065,3344175490737897472
-6.2578918,106.8022136,3344469678817804288
-6.2509717,106.7520567,3344469129061990400
-6.2705296,106.8151646,3344469781897019392
-6.2197407,106.833235,3344472427596873728
-7.8187865,110.4027675,3349085188113039360
-6.1220471,106.6525735,3344487958198616064
-8.6873411,115.1544652,3301779662400651264
-6.890225,107.6191088,3344175971774234624
-6.2368621,106.7898615,3344469438299635712
-6.2911469,106.8235284,3344470297293094912
-7.265773,112.746444,3303383059591593984
3.5947765,98.668435,3472611608641929216
-7.2629282,112.7403582,3303383059591593984
-6.2782288,106.8298644,3344470537811263488
-7.2680979,112.7743082,3303383918585053184
-6.9323412,107.5897141,3344178514394873856
-7.3188757,112.7337688,3303385292974587904
-6.2943269,106.7929489,3344470125494403072
-6.2242975,106.8166428,3344469541378850816
-6.3032367,106.6932713,3344479952379576320
-7.7426773,110.4042939,3349087593294725120
-7.7981424,110.3727944,3349085497350684672
-7.3166005,112.7644279,3303384708859035648
-7.7714441,110.3842999,3349087902532370432
-7.2668897,112.7409298,3303383059591593984
-7.7730896,110.4047321,3349087765093416960
-6.8907537,107.61691,3344175971774234624
-8.7408157,115.1767097,3301776363865767936
-6.2335416,106.8627252,3344472049639751680
-6.1226491,106.8813501,3344520599950065664
-6.1875981,106.8286001,3344472633755303936
-6.1223507,106.6547149,3344488336155738112
-6.9878881,110.4247192,3346327750389530624
-6.2289074,106.8546852,3344472049639751680
-6.986896,110.4028616,3346327647310315520
3.6107136,98.691019,3472611265044545536
-6.2239743,106.7902462,3344469403939897344
-6.173124,106.8115124,3344475210735681536
-1.2657334,116.8497551,3310505146160513024
-6.1506183,106.8172386,3344474729699344384
-6.2213419,106.8247052,3344472461956612096
-5.128411,119.407642,3296356355656384512
-5.1224012,119.4319462,3296350617580077056
-6.2110708,106.8186159,3344472496316350464
-3.0182179,104.7517654,3331430570424008704
-6.8995341,107.6091444,3344175903054757888
-6.2211989,106.7635237,3344468991623036928
-6.9250573,107.6464183,3344177689761153024
-6.223836,106.8187148,3344472461956612096
-6.2539808,106.7308819,3344468648025653248
-1.2273071,116.8346918,3310506176952664064
-6.1492872,106.8353858,3344474592260390912
-6.2997802,106.8491049,3344465383850508288
