"[Mirota Pasaraya Jakal,Mirota Pasaraya Jakal,-7.752913,110.38456,from,null]"
"[Jl. Mawar,Jl. Mawar,-7.7563587,110.3906202,from,null]"
"[Bandara Adi Sutjipto,Maguwoharjo,  Kabupaten Sleman,  Daerah Istimewa Yogyakarta,  Indonesia,-7.787684,110.43176,from,null]"
"[LIPPO MALL,LIPPO MALL,-8.7352841,115.1664936,from,null]"
"[Terminal Condong Catur,Terminal Condong Catur,-7.756714,110.39586,from,null]"
"[Jl. Belimbing, Wedomartani, Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55584, Indonesia,Jl. Belimbing, Wedomartani, Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55584, Indonesia,-7.7440933,110.4097191,from,null]"
"[Jl. Mekarsari, Gunungsari Ilir, Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur 76113, Indonesia,Jl. Mekarsari, Gunungsari Ilir, Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur 76113, Indonesia,-1.269536,116.8417233,from,null]"
"[Jalan Raya Dieng No.40, Gading Kasri, Kota Malang, Jawa Timur, Indonesia,Jalan Raya Dieng No.40, Gading Kasri, Kota Malang, Jawa Timur, Indonesia,-7.973187,112.61347,from,null]"
"[Jl. Letjen S. Parman No.24, Gunungsari Ulu, Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur 76122, Indonesia,Jl. Letjen S. Parman No.24, Gunungsari Ulu, Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur 76122, Indonesia,-1.2546877,116.8439059,from,null]"
"[Jl. Airport Adisucipto No.340, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia,Jl. Airport Adisucipto No.340, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia,-7.7848522,110.4366819,from,null]"
"[Jl. Nuansa Indah Selatan Utara II No.5, Pemecutan Kaja, Denpasar Utara, Kota Denpasar, Bali 80118, Indonesia,Jl. Nuansa Indah Selatan Utara II No.5, Pemecutan Kaja, Denpasar Utara, Kota Denpasar, Bali 80118, Indonesia,-8.6392622,115.1947428,from,null]"
"[Jl. Podang, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia,Jl. Podang, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia,-7.777026,110.391618,from,null]"
"[Jl. Belakang Mall BB, Damai, Balikpapan Sel., Kota Balikpapan, Kalimantan Timur 76114, Indonesia,Jl. Belakang Mall BB, Damai, Balikpapan Sel., Kota Balikpapan, Kalimantan Timur 76114, Indonesia,-1.246008,116.85973,from,null]"
"[Jalan Dongkelan,Suryodiningratan,  Kota Yogyakarta,  Daerah Istimewa Yogyakarta,  Indonesia,-7.826045,110.35735,from,null]"
"[Jl. Gayam No.20, Baciro, Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55225, Indonesia,Jl. Gayam No.20, Baciro, Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55225, Indonesia,-7.7976324,110.3795522,from,null]"
"[Jl. Indragiri I, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia,Jl. Indragiri I, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia,-7.7665117,110.4048237,from,null]"
"[Jl. Indragiri I, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia,Jl. Indragiri I, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia,-7.7665117,110.4048237,from,null]"
"[Respati Beach Hotel,Sanur,  Kota Denpasar,  Bali,  Indonesia,-8.688029,115.263435,from,null]"
"[Respati Beach Hotel,Sanur,  Kota Denpasar,  Bali,  Indonesia,-8.688029,115.263435,from,null]"
"[Terminal Condong Catur,Terminal Condong Catur,-7.756714,110.39586,from,null]"
"[Jalan Ahim, Sempaja Sel., Samarinda Utara, Kota Samarinda, Kalimantan Timur 75243, Indonesia,Jalan Ahim, Sempaja Sel., Samarinda Utara, Kota Samarinda, Kalimantan Timur 75243, Indonesia,-0.4460193,117.1557683,from,null]"
"[Jl. Kapten Piere Tendean No.56, Wirobrajan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55252, Indonesia,Jl. Kapten Piere Tendean No.56, Wirobrajan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55252, Indonesia,-7.8062971,110.3503522,from,null]"
"[Grand Pondok Puri Ayu,Grand Pondok Puri Ayu,-8.6705475,115.210846,from,null]"
"[Jl. Raya Kuta No.139, Kuta, Kabupaten Badung, Bali 80361, Indonesia,Jl. Raya Kuta No.139, Kuta, Kabupaten Badung, Bali 80361, Indonesia,-8.716189,115.181223,from,null]"
"[Jl. Diponegoro No.164-166, Dauh Puri Klod, Denpasar Bar., Kota Denpasar, Bali 80232, Indonesia,Jl. Diponegoro No.164-166, Dauh Puri Klod, Denpasar Bar., Kota Denpasar, Bali 80232, Indonesia,-8.669712,115.215494,from,null]"
"[Jl. Raya Kuta No.139, Kuta, Kabupaten Badung, Bali 80361, Indonesia,Jl. Raya Kuta No.139, Kuta, Kabupaten Badung, Bali 80361, Indonesia,-8.716189,115.181223,from,null]"
"[Jl. Karimata, Prapatan, Balikpapan Sel., Kota Balikpapan, Kalimantan Timur, Indonesia,Jl. Karimata, Prapatan, Balikpapan Sel., Kota Balikpapan, Kalimantan Timur, Indonesia,-1.2789437,116.8156712,from,null]"
"[Mirota Pasaraya Jakal,Mirota Pasaraya Jakal,-7.752913,110.38456,from,null]"
"[Jl. Belakang Rumah Sakit Saiful Anwar No.9A, Klojen, Kota Malang, Jawa Timur 65111, Indonesia,Jl. Belakang Rumah Sakit Saiful Anwar No.9A, Klojen, Kota Malang, Jawa Timur 65111, Indonesia,-7.9750852,112.6318886,from,null]"
"[Jl. Belimbing, Wedomartani, Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55584, Indonesia,Jl. Belimbing, Wedomartani, Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55584, Indonesia,-7.7440933,110.4097191,from,null]"
"[Limestones Bali Restaurant, Jalan Bedahulu, Peguyangan, Kota Denpasar, Bali, Indonesia,Limestones Bali Restaurant, Jalan Bedahulu, Peguyangan, Kota Denpasar, Bali, Indonesia,-8.633343,115.216774,from,081338117662]"
"[SMA Plus Melati Samarinda, Jalan H.A.M Rifaddin, Harapan Baru, Kota Samarinda, Kalimantan Timur, Indonesia,SMA Plus Melati Samarinda, Jalan H.A.M Rifaddin, Harapan Baru, Kota Samarinda, Kalimantan Timur, Indonesia,-0.5518707,117.12069,from,null]"
"[Jl. Pleret No.18, Potorono, Banguntapan, Bantul, Daerah Istimewa Yogyakarta 55196, Indonesia,Jl. Pleret No.18, Potorono, Banguntapan, Bantul, Daerah Istimewa Yogyakarta 55196, Indonesia,-7.8334533,110.4129183,from,null]"
"[Jl. Belakang Rumah Sakit Saiful Anwar No.9A, Klojen, Kota Malang, Jawa Timur 65111, Indonesia,Jl. Belakang Rumah Sakit Saiful Anwar No.9A, Klojen, Kota Malang, Jawa Timur 65111, Indonesia,-7.9750852,112.6318886,from,null]"
"[Jalan R. W. Monginsidi,Jalan R. W. Monginsidi,-0.486768,117.1446,from,null]"
"[Jl. Raya Kuta No.139, Kuta, Kabupaten Badung, Bali 80361, Indonesia,Jl. Raya Kuta No.139, Kuta, Kabupaten Badung, Bali 80361, Indonesia,-8.716189,115.181223,from,null]"
"[Jl. Ringroad Selatan No.15, Giwangan, Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55191, Indonesia,Jl. Ringroad Selatan No.15, Giwangan, Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55191, Indonesia,-7.8347653,110.3843888,from,null]"
"[Jl. Diponegoro No.164-166, Dauh Puri Klod, Denpasar Bar., Kota Denpasar, Bali 80232, Indonesia,Jl. Diponegoro No.164-166, Dauh Puri Klod, Denpasar Bar., Kota Denpasar, Bali 80232, Indonesia,-8.669712,115.215494,from,null]"
